Strompreis [Euro/kWh],Netzlast [kW]
0.3134936,0.309549759
0.3131485,0.351805448
0.3143147,0.642813449
0.3223948,0.662526264
0.3533943,0.400697134
0.3802645,0.454175465
0.3733863,0.449100879
0.3579758,0.825693729
0.3493126,0.228356379
0.3400901,0.194395687
0.3354491,0.196347451
0.3371865,0.188930748
0.3436839,0.277443242
0.3555839,0.475254516
0.3645089,0.299595763
0.3627239,0.461006639
0.3549532,0.838965723
0.342244,0.905813638
0.3299751,0.837209136
0.3238942,0.947678974
0.3143861,0.960072675
0.3198839,0.708490305
0.3139339,0.466569166
0.3103639,0.471155812
0.3061632,0.309549759
0.3020339,0.351805448
0.3019387,0.642813449
0.3057229,0.662526264
0.3106257,0.400697134
0.3142433,0.454175465
0.3021648,0.449100879
0.3010938,0.825693729
0.2993207,0.228356379
0.2965004,0.194395687
0.2885512,0.196347451
0.2935968,0.188930748
0.2944298,0.277443242
0.2970121,0.475254516
0.3011057,0.299595763
0.3029978,0.461006639
0.3006297,0.838965723
0.2997253,0.905813638
0.2971906,0.837209136
0.2893009,0.947678974
0.2879443,0.960072675
0.2889677,0.708490305
0.2866948,0.466569166
0.2876706,0.471155812
0.2889558,0.309549759
0.2897412,0.351805448
0.2903719,0.642813449
0.2928828,0.662526264
0.2980593,0.400697134
0.3041045,0.454175465
0.3093405,0.449100879
0.3087336,0.825693729
0.3101735,0.228356379
0.308448,0.194395687
0.3044615,0.196347451
0.3069724,0.188930748
0.3107447,0.277443242
0.3158617,0.475254516
0.3220973,0.299595763
0.3281782,0.461006639
0.3185868,0.838965723
0.3091739,0.905813638
0.3063179,0.837209136
0.302498,0.947678974
0.29274,0.960072675
0.2935849,0.301564381
0.2901339,0.262652848
0.2888725,0.304482746
0.2866115,0.265571213
0.2866115,0.297673228
0.2951914,0.278217461
0.3079244,0.496122046
0.3125535,0.823951712
0.3309509,0.782121814
0.332129,1.068121582
0.3256911,0.604101551
0.3201933,0.577836266
0.3125773,0.567135594
0.3105424,0.687761347
0.3133389,0.342421491
0.3192175,1.129407247
0.3288327,0.555462134
0.3394713,0.664414427
0.3470159,0.661496062
0.3441361,0.615775011
0.3346637,0.677060675
0.3220021,0.88912853
0.319277,0.777257873
0.3156356,0.456237725
0.3097094,0.216506393
0.3092572,0.222605158
0.3078887,0.218031081
0.30583,0.215744038
0.3043782,0.225654557
0.3097094,0.282830529
0.3247272,0.374312103
0.3493602,0.507722731
0.3842748,0.741763086
0.3777179,1.158004243
0.3579639,0.391846064
0.3436839,0.259960136
0.3358656,0.539741289
0.3258101,0.276731753
0.3270239,0.414716469
0.3439814,0.576333911
0.345338,1.085581331
0.3652824,0.269870633
0.3642828,0.609114813
0.3457902,0.497049879
0.326417,1.051275741
0.3153738,0.417765857
0.3104115,0.568710435
0.305235,0.39946954
0.2979998,0.196597054
0.2978927,0.153485784
0.296905,0.202514287
0.2957745,0.170392164
0.2954532,0.203721886
0.2973453,0.315666277
0.302141,0.413602525
0.313208,0.228356898
0.3276189,0.36541934
0.3391143,0.302744972
