electrical_load,thermal_load,temperature
6.174443313,30.557280000000002,7.1
14.93839009,28.7065792,5.3
7.708501977,32.4097072,4.0
8.06168738,33.336784,3.8
7.310149047,27.781228799999997,3.5
8.960306503,33.336784,3.3
8.532013866,32.411433599999995,2.8
0.929321135,31.4843568,3.4
1.190871013,36.1145616,3.3
4.884501985,67.39175039999999,3.3
15.14027264,44.4513472,3.2
14.66677781,58.6561664,3.4
6.047519391,43.4811104,3.3
16.00128564,44.8915792,2.4
9.733525989,41.670116799999995,1.5
5.31114937,39.8176896,2.3
13.88122514,39.8176896,2.4
7.875105604,37.9669888,1.0
8.24630999,40.74304000000001,0.7
7.971531711,40.701606399999996,0.8
9.591393205,55.479590400000006,0.9
9.650495268,41.1867248,1.0
10.08209157,40.74304000000001,1.2
8.993507362,37.039911999999994,0.5
6.029939654,44.3304992,0.9
6.070280927,37.3489376,1.1
4.217172986,40.1508848,1.3
9.51078842,38.4054944,1.3
7.608927623,43.962776,1.1
3.539120849,45.3387168,1.2
8.826651833,45.568328,1.2
8.489277411,45.70644,0.9
2.322763305,54.3418928,1.1
2.043779478,52.689727999999995,0.9
20.95548742,44.3304992,1.4
8.021820575,36.660104,2.0
14.78824283,43.64166559999999,2.2
12.55156246,38.402041600000004,1.5
8.934768813,47.1324464,1.6
24.76229016,46.0758896,1.6
20.1175753,54.802841599999994,1.9
28.01916311,51.6314448,2.0
53.82855156,51.9542816,2.1
41.0367556,48.142390400000004,2.1
24.77614533,27.929699199999995,1.9
31.71148954,27.561975999999998,2.2
8.233742181,39.4119856,2.1
2.786214795,43.6399392,2.0
2.816851187,44.3304992,1.8
2.220166103,37.3489376,1.7
5.620421897,40.1508848,1.8
7.259491064,38.4054944,1.4
9.461733473,43.962776,1.4
8.66252913,45.3387168,1.4
1.274721828,45.568328,1.2
2.898424441,45.70644,0.9
13.32846284,54.3418928,1.2
8.950068474,52.689727999999995,0.9
11.40337826,44.3304992,1.0
12.15768526,36.660104,1.4
7.472567219,43.64166559999999,1.5
12.09358788,38.402041600000004,1.3
4.495631726,47.1324464,1.6
8.22471453,46.0758896,1.3
9.470347801,54.802841599999994,1.0
3.881504864,51.6314448,0.0
8.755566159,51.9542816,-0.5
6.142438447,48.142390400000004,-0.6
10.90235935,27.929699199999995,-1.1
6.928125673,27.561975999999998,-2.6
13.96539327,39.4119856,-2.0
4.406577376,43.6399392,-2.3
3.431558779,44.3304992,-3.1
7.502028195,37.3489376,-3.3
4.011016628,40.1508848,-4.2
5.272324686,38.4054944,-4.0
2.227839989,43.962776,-4.6
3.598645359,45.3387168,-3.8
8.282713128,45.568328,-4.1
6.579337381,45.70644,-4.3
6.851970485,54.3418928,-4.9
17.43731525,52.689727999999995,-4.5
7.950683809,44.3304992,-3.4
3.945630042,36.660104,-2.1
12.21918226,43.64166559999999,-1.2
8.158265482,38.402041600000004,-0.2
7.951999899,47.1324464,0.0
7.842201787,46.0758896,-0.2
16.99109538,54.802841599999994,-1.5
14.87544004,51.6314448,-2.0
13.77173439,51.9542816,-2.2
14.25619633,48.142390400000004,-3.1
8.510267966,27.929699199999995,-3.0
13.36920145,27.561975999999998,-2.8
6.296828762,39.4119856,-3.1
10.29184289,43.6399392,-3.7
3.018431531,44.3304992,-3.8
5.792250984,37.3489376,-4.1
6.807679111,40.1508848,-4.6
3.689780018,38.4054944,-4.3
3.89065711,43.962776,-5.3
9.288911903,45.3387168,-5.6
5.640229122,45.568328,-5.3
0.950845705,45.70644,-5.4
5.420477776,54.3418928,-6.4
21.11044011,52.689727999999995,-6.0
6.253752689,44.3304992,-4.4
9.39205138,36.660104,-3.5
6.363882315,43.64166559999999,-3.1
8.878769876,38.402041600000004,-2.7
5.579172031,47.1324464,-2.3
5.489911877,46.0758896,-2.4
2.626563669,54.802841599999994,-3.0
13.68996149,51.6314448,-3.5
44.35619655,51.9542816,-2.9
13.44784664,48.142390400000004,-3.2
15.11828177,27.929699199999995,-2.8
4.660593171,27.561975999999998,-3.1
12.49412835,39.4119856,-2.8
10.77788417,43.6399392,-3.1
8.222938599,30.557280000000002,-2.8
3.075476829,28.7065792,-3.4
6.342023288,32.4097072,-3.5
6.821862045,33.336784,-3.6
12.02968274,27.781228799999997,-3.8
5.65619551,33.336784,-4.0
10.26129067,32.411433599999995,-4.3
4.221919112,31.4843568,-4.2
3.526352115,36.1145616,-4.6
5.430408945,67.39175039999999,-4.7
6.563945953,44.4513472,-4.0
11.66233734,58.6561664,-3.8
9.335347722,43.4811104,-3.5
10.35077151,44.8915792,-3.4
10.09646226,41.670116799999995,-3.3
14.70298183,39.8176896,-3.5
8.941836019,39.8176896,-3.0
7.525625422,37.9669888,-2.5
21.09901641,40.74304000000001,-2.3
12.80863041,40.701606399999996,-2.2
17.53298084,55.479590400000006,-1.9
11.87949066,41.1867248,-2.0
7.826530885,40.74304000000001,-2.2
4.33569551,37.039911999999994,-1.9
7.013838055,44.3304992,-1.9
4.777723605,37.3489376,-2.2
11.9173469,40.1508848,-1.3
8.542440409,38.4054944,-2.1
3.811860461,43.962776,-2.1
7.393550564,45.3387168,-1.8
4.472265774,45.568328,-1.5
4.741770999,45.70644,-1.8
4.267567022,54.3418928,-2.0
13.14622853,52.689727999999995,-2.0
1.581793402,44.3304992,-1.8
8.946003885,36.660104,-1.4
11.81875632,43.64166559999999,-1.2
5.559537855,38.402041600000004,-1.2
11.07900005,47.1324464,-1.1
7.253061889,46.0758896,-1.0
4.456752395,54.802841599999994,-1.1
7.931381227,51.6314448,-1.3
20.83167635,51.9542816,-1.8
13.93825379,48.142390400000004,-1.7
5.994049766,27.929699199999995,-1.4
9.332473443,27.561975999999998,-1.1
8.981267767,39.4119856,-1.6
6.145057491,43.6399392,-1.8
1.944193732,44.3304992,-1.6
4.19005755,37.3489376,-2.0
8.607734754,40.1508848,-2.2
5.566310695,38.4054944,-2.7
4.451866369,43.962776,-3.1
4.177808469,45.3387168,-2.9
6.420627661,45.568328,-2.7
6.118978271,45.70644,-2.7
5.77485616,54.3418928,-2.9
4.906438394,52.689727999999995,-3.0
13.27579012,44.3304992,-3.2
4.196893678,36.660104,-3.1
5.187339416,43.64166559999999,-2.3
19.38049503,38.402041600000004,-1.8
6.100148183,47.1324464,-1.3
29.21427938,46.0758896,-1.3
28.58052592,54.802841599999994,-1.2
17.22964866,51.6314448,-1.0
10.7900223,51.9542816,-0.4
17.18967594,48.142390400000004,0.0
16.54233743,27.929699199999995,-0.1
14.79257034,27.561975999999998,0.2
11.54407636,39.4119856,0.1
9.938673312,43.6399392,-0.1
7.322093044,44.3304992,-0.2
7.561822908,37.3489376,0.4
4.210720858,40.1508848,0.4
7.746610011,38.4054944,0.1
3.659570918,43.962776,0.4
8.126378978,45.3387168,0.9
11.23563109,45.568328,0.6
5.472580546,45.70644,1.0
8.631235079,54.3418928,1.5
10.56395125,52.689727999999995,1.3
8.6757157,44.3304992,1.1
22.98925668,36.660104,1.2
14.7013256,43.64166559999999,2.0
8.093267056,38.402041600000004,2.6
12.39575104,47.1324464,2.5
27.21081936,46.0758896,4.0
13.87643673,54.802841599999994,3.5
10.94361015,51.6314448,4.0
25.91905876,51.9542816,4.3
5.291832966,48.142390400000004,5.2
30.1402118,27.929699199999995,5.8
24.69233912,27.561975999999998,6.0
4.437788705,39.4119856,6.5
4.124799567,43.6399392,6.7
6.165962117,44.3304992,6.8
8.000418888,37.3489376,7.3
4.009531793,40.1508848,7.8
8.799039056,38.4054944,6.5
5.181558475,43.962776,6.6
6.268106964,45.3387168,6.4
4.950504217,45.568328,5.9
9.990940679,45.70644,5.6
12.4807076,54.3418928,4.7
3.433774118,52.689727999999995,5.1
8.300784549,44.3304992,5.2
23.17418476,36.660104,5.5
16.42934137,43.64166559999999,5.1
9.224325048,38.402041600000004,5.6
4.413445832,47.1324464,5.3
6.105208864,46.0758896,5.3
6.952301966,54.802841599999994,5.4
8.85790045,51.6314448,5.0
7.335289955,51.9542816,4.9
6.37534693,48.142390400000004,4.0
8.971935434,27.929699199999995,3.5
2.759689329,27.561975999999998,3.5
11.57973168,39.4119856,3.3
6.788246724,43.6399392,3.0
4.051963174,12.017470399999999,2.4
4.815785724,14.0218208,2.3
5.336370288,15.024859199999998,1.9
6.987357217,16.0261712,2.4
5.548817896,17.0274832,2.5
5.506052535,56.15806559999999,2.6
3.998776248,20.031419200000002,2.7
5.282844461,18.601960000000002,2.4
7.942844461,14.6674944,2.2
