timestamp,light_kW,water_L_per_h,water_kW
2019-01-01 00:00:00,0.11340725806451613,0.0,0.0
2019-01-01 01:00:00,0.11340725806451613,0.012144338348765576,6.618664400077239e-07
2019-01-01 02:00:00,0.11340725806451613,0.024271797839505865,1.3228129822530697e-06
2019-01-01 03:00:00,0.11340725806451613,0.036382378472222324,1.9828396267361164e-06
2019-01-01 04:00:00,0.11340725806451613,0.048476080246914466,2.6419463734568384e-06
2019-01-01 05:00:00,0.11340725806451613,0.06055290316357986,3.3001332224151025e-06
2019-01-01 06:00:00,0.11340725806451613,0.07261284722222192,3.9574001736110946e-06
2019-01-01 07:00:00,0.11340725806451613,0.08465591242284014,4.613747227044788e-06
2019-01-01 08:00:00,0.11340725806451613,0.09668209876543161,5.269174382716022e-06
2019-01-01 09:00:00,0.11340725806451613,0.10869140624999975,5.923681640624986e-06
2019-01-01 10:00:00,0.11340725806451613,0.12068383487654355,6.577269000771623e-06
2019-01-01 11:00:00,0.11340725806451613,0.1326593846450611,7.22993646315583e-06
2019-01-01 12:00:00,0.11340725806451613,0.14461805555555582,7.881684027777792e-06
2019-01-01 13:00:00,0.11340725806451613,0.15655984760802522,8.532511694637373e-06
2019-01-01 14:00:00,0.11340725806451613,0.16848476080246838,9.182419463734527e-06
2019-01-01 15:00:00,0.11340725806451613,0.18039279513888914,9.831407335069457e-06
2019-01-01 16:00:00,0.0,0.19228395061728415,1.0479475308641986e-05
2019-01-01 17:00:00,0.0,0.2041582272376534,1.112662338445211e-05
2019-01-01 18:00:00,0.0,0.21601562500000027,1.1772851562500014e-05
2019-01-01 19:00:00,0.0,0.22785614390432135,1.2418159842785513e-05
2019-01-01 20:00:00,0.0,0.23967978395061765,1.306254822530866e-05
2019-01-01 21:00:00,0.0,0.25148654513888913,1.3706016710069457e-05
2019-01-01 22:00:00,0.0,0.26327642746913577,1.4348565297067898e-05
2019-01-01 23:00:00,0.0,0.27504943094135814,1.4990193986304017e-05
2019-01-02 00:00:00,0.11340725806451613,0.2868055555555557,1.5630902777777784e-05
2019-01-02 01:00:00,0.11340725806451613,0.29854480131172845,1.62706916714892e-05
2019-01-02 02:00:00,0.11340725806451613,0.31026716820987643,1.6909560667438265e-05
2019-01-02 03:00:00,0.11340725806451613,0.3219726562499996,1.7547509765624976e-05
2019-01-02 04:00:00,0.11340725806451613,0.33366126543209934,1.8184538966049414e-05
2019-01-02 05:00:00,0.11340725806451613,0.3453329957561725,1.88206482687114e-05
2019-01-02 06:00:00,0.11340725806451613,0.3569878472222217,1.945583767361108e-05
2019-01-02 07:00:00,0.11340725806451613,0.3686258198302476,2.0090107180748495e-05
2019-01-02 08:00:00,0.11340725806451613,0.3802469135802467,2.0723456790123445e-05
2019-01-02 09:00:00,0.11340725806451613,0.39185112847222203,2.13558865017361e-05
2019-01-02 10:00:00,0.11340725806451613,0.40343846450617354,2.1987396315586456e-05
2019-01-02 11:00:00,0.11340725806451613,0.41500892168209824,2.2617986231674354e-05
2019-01-02 12:00:00,0.11340725806451613,0.4265625000000001,2.3247656250000006e-05
2019-01-02 13:00:00,0.11340725806451613,0.43809919945987674,2.387640637056328e-05
2019-01-02 14:00:00,0.11340725806451613,0.44961902006172755,2.450423659336415e-05
2019-01-02 15:00:00,0.11340725806451613,0.46112196180555604,2.51311469184028e-05
2019-01-02 16:00:00,0.0,0.4726080246913582,2.575713734567902e-05
2019-01-02 17:00:00,0.0,0.48407720871913507,2.6382207875192858e-05
2019-01-02 18:00:00,0.0,0.49552951388888916,2.7006358506944456e-05
2019-01-02 19:00:00,0.0,0.5069649402006174,2.762958924093365e-05
2019-01-02 20:00:00,0.0,0.5183834876543209,2.8251900077160486e-05
2019-01-02 21:00:00,0.0,0.52978515625,2.8873291015625e-05
2019-01-02 22:00:00,0.0,0.5411699459876543,2.949376205632716e-05
2019-01-02 23:00:00,0.0,0.552537856867284,3.0113313199266975e-05
2019-01-03 00:00:00,0.11340725806451613,0.5638888888888886,3.0731944444444425e-05
2019-01-03 01:00:00,0.11340725806451613,0.57522304205247,3.134965579185961e-05
2019-01-03 02:00:00,0.11340725806451613,0.5865403163580247,3.1966447241512344e-05
2019-01-03 03:00:00,0.11340725806451613,0.5978407118055554,3.258231879340277e-05
2019-01-03 04:00:00,0.11340725806451613,0.6091242283950625,3.319727044753091e-05
2019-01-03 05:00:00,0.11340725806451613,0.6203908661265427,3.3811302203896577e-05
2019-01-03 06:00:00,0.11340725806451613,0.6316406249999996,3.442441406249998e-05
2019-01-03 07:00:00,0.11340725806451613,0.6428735050154327,3.503660602334108e-05
2019-01-03 08:00:00,0.11340725806451613,0.6540895061728391,3.564787808641973e-05
2019-01-03 09:00:00,0.11340725806451613,0.6652886284722226,3.625823025173613e-05
2019-01-03 10:00:00,0.11340725806451613,0.6764708719135806,3.686766251929014e-05
2019-01-03 11:00:00,0.11340725806451613,0.6876362364969131,3.747617488908176e-05
2019-01-03 12:00:00,0.11340725806451613,0.6987847222222227,3.808376736111113e-05
2019-01-03 13:00:00,0.11340725806451613,0.7099163290895063,3.869043993537809e-05
2019-01-03 14:00:00,0.11340725806451613,0.7210310570987649,3.9296192611882686e-05
2019-01-03 15:00:00,0.11340725806451613,0.7321289062499999,3.9901025390624996e-05
2019-01-03 16:00:00,0.0,0.7432098765432099,4.050493827160494e-05
2019-01-03 17:00:00,0.0,0.754273967978395,4.110793125482252e-05
2019-01-03 18:00:00,0.0,0.7653211805555558,4.171000434027778e-05
2019-01-03 19:00:00,0.0,0.7763515142746912,4.2311157527970664e-05
