el. load,PV potential,Wind OnS potential,Wind OffS potential,Water potential,German market,Foreign price
40170.25,0.0,0.503233568957738,0.6223687322611163,0.6394867213514172,0.1,21.15
38818.25,0.0,0.4984834812252469,0.5993377483443708,0.643791115081621,0.01,20.96
37847.75,0.0,0.49538777761066827,0.5832840586565752,0.6503695281409893,0.0,17.73
37123.25,0.0,0.4909008873514814,0.5631504257332072,0.653130837326403,-0.01,14.59
36753.75,0.0,0.4878511388512892,0.5405924787133396,0.6603589701941038,-0.03,14.23
37051.25,0.0,0.4882104242910379,0.5153441343424787,0.6627954194753513,-0.02,13.09
36725.5,0.0,0.4953501779716248,0.4964522232734153,0.634288962884756,-0.05,13.54
37321.0,0.0,0.49900152069651244,0.4900957899716178,0.632908308292049,-0.02,14.08
37984.25,0.008306135770234986,0.5034800554803562,0.4927566225165563,0.6406237310159993,0.0,14.42
39952.0,0.045757180156657966,0.5036429872495446,0.5007095553453169,0.641841955656623,0.04,16.69
42309.25,0.08579308093994778,0.5031207700406076,0.4997043519394513,0.6488264435961991,0.06,24.0
44829.25,0.10636749347258485,0.5060242977222974,0.5010347682119205,0.6700235523430521,0.54,25.17
45824.0,0.10579960835509139,0.5083095202286058,0.5021582308420057,0.6573540160805652,2.24,26.22
45251.75,0.09016644908616188,0.503258635383767,0.5060903500473037,0.6285226995858036,1.96,26.63
44904.5,0.06025130548302872,0.48859059841914404,0.5079529328287606,0.6255177454722651,1.04,28.12
44952.25,0.022741514360313315,0.47102738924817433,0.49952696310312206,0.6290099894420531,3.66,33.78
46881.25,0.0015339425587467363,0.45600424458147426,0.4748403500473037,0.6227564362868513,43.06,48.13
50120.5,0.0,0.4507946057051186,0.5127719962157048,0.6543490619670267,49.93,60.16
50199.5,0.0,0.4476445915008105,0.5346499526963103,0.6701047673190936,58.0,59.43
49118.25,0.0,0.43981551110442674,0.5354777672658467,0.6597904653618127,54.25,57.84
47071.75,0.0,0.4275371400878996,0.5224101229895932,0.6424916754649558,48.01,54.91
45149.0,0.0,0.4059633027522936,0.5026312677388837,0.6307967189149679,42.95,47.37
43664.25,0.0,0.3793761802108922,0.47164735099337746,0.639324291399334,47.09,47.49
41057.25,0.0,0.3558179174813255,0.42339758751182593,0.6319337285795501,35.55,39.7
38390.0,0.0,0.34140472251466386,0.43480960264900664,0.6234061560951839,30.59,34.66
37078.0,0.0,0.32694557243361577,0.43767738883632923,0.6271420449930968,20.07,28.09
37041.75,0.0,0.32583429421299775,0.447226821192053,0.6376999918785023,31.03,28.77
37358.25,0.0,0.34131281228589094,0.4864297540208136,0.6029399821327053,18.39,23.92
39412.25,0.0,0.3713758125699771,0.5313978240302744,0.6103305449524893,11.08,23.26
42454.0,0.0,0.4117661803780017,0.5611991485335857,0.6143100787785267,13.78,28.53
47726.0,0.0,0.45837719957888406,0.5650721381267739,0.6065134410785349,47.63,45.07
52564.75,0.0,0.4921667418659448,0.5616721854304636,0.622025501502477,58.1,59.6
56047.5,0.0019451697127937336,0.5201116291505824,0.5602235099337748,0.6274669048972631,65.67,65.83
57931.5,0.0075652741514360316,0.5354564596179877,0.5461506622516556,0.6999918785023959,64.73,66.07
59509.5,0.012839425587467363,0.5356319246001905,0.5428394039735099,0.6468772841712012,68.98,68.1
60929.5,0.01689947780678851,0.5240846576761752,0.5329351939451277,0.6463087793389101,73.54,71.99
61269.75,0.01824738903394256,0.5070436657141425,0.5213753547776726,0.722894501746122,78.16,75.09
60607.0,0.01612924281984334,0.4879263381293762,0.49056882686849573,0.6458214894826606,78.87,75.92
59705.0,0.010339425587467362,0.46398790127170336,0.4501537369914853,0.6649070088524324,79.24,78.09
60067.0,0.004503916449086162,0.447068063702144,0.396759697256386,0.6871599122878259,79.96,78.14
61427.0,0.0007441253263707571,0.44560167777944887,0.38786069063386946,0.6727848615284658,83.46,79.68
63376.75,0.0,0.4653373105395966,0.42401844843897823,0.677414115162836,80.92,82.4
63072.0,0.0,0.4957512407880884,0.492135761589404,0.6440347600097458,74.95,74.58
61214.75,0.0,0.5248617168830735,0.5690929517502366,0.6467960691951596,63.18,67.23
58093.5,0.0,0.5538802827492856,0.6195305108798487,0.6285226995858036,57.11,61.27
54777.75,0.0,0.5822345883257298,0.6338103122043519,0.6181271826524811,46.89,52.38
52006.25,0.0,0.6006249895556558,0.6228417691579943,0.6263298952326809,40.0,47.72
49067.5,0.0,0.6250814658845941,0.6025898770104068,0.6267359701128888,7.43,35.65
46137.5,0.0,0.6471691649537942,0.3760643330179754,0.6071631608868675,-0.08,21.31
44335.25,0.0,0.6444035026152638,0.35108207190160834,0.5957118492650044,-1.23,19.73
43294.75,0.0,0.6534524824117244,0.3289971617786187,0.5998538130431251,-1.3,19.03
43656.25,0.0,0.6621881318828228,0.3312736518448439,0.6109802647608219,-1.31,18.59
45081.75,0.0,0.6704725856853997,0.3438386944181646,0.619507837245188,-1.31,18.82
47957.5,0.0,0.6758075566919002,0.3449325922421949,0.5961179241452124,-1.38,21.3
53736.25,0.0,0.7125424040373657,0.47371688741721857,0.598148298546252,1.09,33.82
58238.5,0.0,0.720856102003643,0.4748994796594134,0.6203199870056039,40.59,52.13
60985.0,0.005434073107049608,0.7156882405040023,0.47262298959318827,0.6299033541785105,59.61,65.36
62279.0,0.02893603133159269,0.7058120686485854,0.467833491012299,0.5995289531389588,60.61,68.12
63084.75,0.05449086161879896,0.7008238498688191,0.4607379375591296,0.6053764314139527,57.0,64.5
64448.0,0.07195822454308094,0.7015048211092729,0.45331717123935666,0.6173150328920654,54.89,62.46
