Heizlast_kW,electric_load_kW,wind_infeed
944.8223733938024,433.394433,1098.676
1259.76316452507,1030.247247,1031.826
1511.7157974300837,542.903496,931.241
1889.6447467876048,584.44305,844.231
2204.5855379188724,524.573043,792.897
2204.5855379188724,658.664807,797.963
2141.5973796926187,607.273227,801.499
2078.609221466365,113.535132,794.888
2015.6210632401119,90.420762,716.952
1889.6447467876048,341.978995,556.483
1637.692113882591,1011.301043,546.219
1574.7039556563373,1010.401098,476.41
1511.7157974300837,461.103257,409.942
1385.7394809775767,1090.306716,347.307
1322.7513227513234,676.900529,393.436
1196.7750062988164,375.324316,553.869
1133.7868480725629,962.561931,791.904
1133.7868480725629,553.039716,1094.403
1070.7986898463093,596.189697,1332.55
1007.8105316200559,588.327022,1364.158
944.8223733938024,701.009575,1222.72
944.8223733938024,647.912836,954.299
1007.8105316200559,673.348116,684.513
1007.8105316200559,660.843621,482.074
944.8223733938024,427.947399,403.213
1259.76316452507,459.587561,403.164
1511.7157974300837,307.260075,411.317
1889.6447467876048,680.074019,436.674
2204.5855379188724,517.610313,471.579
2204.5855379188724,258.568329,538.154
2141.5973796926187,589.321698,632.701
2078.609221466365,594.626635,728.77
2015.6210632401119,208.266155,753.952
1889.6447467876048,176.294435,715.238
1637.692113882591,1442.942952,699.234
1574.7039556563373,598.27378,813.927
1511.7157974300837,994.628383,860.061
1385.7394809775767,865.415266,1004.413
1322.7513227513234,649.949553,1244.377
1196.7750062988164,1655.329907,1620.901
1133.7868480725629,1341.675488,1752.853
1133.7868480725629,1932.74971,1731.318
1070.7986898463093,3592.721437,1734.638
1007.8105316200559,2735.926693,1734.769
944.8223733938024,1715.531472,1763.771
944.8223733938024,2142.43683,1824.798
1007.8105316200559,584.727243,1898.673
1007.8105316200559,213.476362,1853.823
944.8223733938024,191.593495,2057.933
1259.76316452507,162.795264,2231.1
1511.7157974300837,434.531205,1987.389
1889.6447467876048,500.511363,2031.989
2204.5855379188724,651.796808,2007.571
2204.5855379188724,580.890637,2043.731
2141.5973796926187,150.574962,2095.847
2078.609221466365,239.195835,2079.873
2015.6210632401119,924.195866,2152.001
1889.6447467876048,632.329583,2241.562
1637.692113882591,761.447968,2499.971
1574.7039556563373,833.39618,2826.167
1511.7157974300837,551.855578,2987.232
1385.7394809775767,823.544154,2926.343
1322.7513227513234,338.284485,2882.657
1196.7750062988164,560.760294,2818.173
1133.7868480725629,638.202906,2616.054
1133.7868480725629,324.264294,2214.604
1070.7986898463093,629.819211,1898.585
1007.8105316200559,461.529547,1428.341
944.8223733938024,736.249516,1047.793
944.8223733938024,485.87542,828.669
1007.8105316200559,991.312797,776.268
1007.8105316200559,301.434117,810.177
944.8223733938024,252.837102,997.843
1259.76316452507,522.678423,1201.976
1511.7157974300837,311.617702,1403.245
1889.6447467876048,398.91234,1494.181
2204.5855379188724,153.274796,1402.676
2204.5855379188724,281.303775,1482.693
2141.5973796926187,600.689421,1558.351
2078.609221466365,504.016411,1537.417
2015.6210632401119,503.495391,1537.595
1889.6447467876048,1193.80036,1552.656
1637.692113882591,566.538887,1783.493
1574.7039556563373,276.756686,1961.098
1511.7157974300837,859.210384,2019.058
1385.7394809775767,548.35053,2059.501
1322.7513227513234,554.602778,2079.641
1196.7750062988164,577.717148,2186.616
1133.7868480725629,1179.353879,1984.002
1133.7868480725629,1045.404211,1933.46
1070.7986898463093,939.684389,1805.607
1007.8105316200559,987.760383,1564.136
944.8223733938024,618.309391,1295.136
944.8223733938024,937.126651,1103.483
1007.8105316200559,477.918014,988.762
1007.8105316200559,743.070149,863.561
944.8223733938024,242.558786,747.933
970.0176366843039,444.620059,645.798
1007.8105316200559,460.961161,605.653
1083.39632149156,272.730617,575.925
1196.7750062988164,293.903001,533.997
1158.9821113630642,667.758986,456.481
1133.7868480725629,402.322657,375.757
1095.9939531368107,90.468128,341.172
1070.7986898463093,418.900586,338.362
1007.8105316200559,1443.937628,333.125
957.420005039053,456.22461,381.33
944.8223733938024,649.475898,466.338
919.627110103301,466.502926,513.214
919.627110103301,632.661141,519.05
932.2247417485518,380.581887,540.204
944.8223733938024,427.568475,732.416
970.0176366843039,220.533823,926.664
1007.8105316200559,923.438018,1046.715
1007.8105316200559,3021.919654,1088.616
995.2128999748053,961.188331,1108.121
995.2128999748053,1038.157288,1079.003
1007.8105316200559,368.408951,1003.16
1033.0057949105571,877.872396,920.053
1007.8105316200559,779.399497,857.447
944.8223733938024,603.910276,801.846
970.0176366843039,250.705654,789.473
1007.8105316200559,424.821275,784.771
1083.39632149156,466.739753,770.195
1196.7750062988164,819.707547,748.871
1158.9821113630642,397.254548,736.326
1133.7868480725629,724.313407,809.359
1095.9939531368107,298.0238,940.196
1070.7986898463093,279.503885,880.232
1007.8105316200559,369.072068,573.946
957.420005039053,489.048909,549.133
944.8223733938024,789.867275,668.152
919.627110103301,638.629196,696.396
919.627110103301,709.156443,699.354
932.2247417485518,717.161214,849.284
944.8223733938024,993.965265,1517.673
970.0176366843039,622.761749,1857.429
1007.8105316200559,529.025401,1819.362
1007.8105316200559,1436.31178,1757.002
995.2128999748053,886.966574,1686.132
995.2128999748053,1232.924272,1572.749
1007.8105316200559,812.365893,1521.443
1033.0057949105571,556.118474,1468.25
1007.8105316200559,352.446773,1447.85
944.8223733938024,503.826949,1447.756
1259.76316452507,347.426029,1577.743
1511.7157974300837,806.397839,1358.814
1889.6447467876048,581.269561,1348.968
2204.5855379188724,256.105322,1334.649
2204.5855379188724,518.368161,1218.383
2141.5973796926187,339.989644,1112.742
2078.609221466365,358.367462,924.828
2015.6210632401119,295.087139,747.241
1889.6447467876048,925.00108,711.314
1637.692113882591,149.059266,824.799
1574.7039556563373,660.654159,894.013
1511.7157974300837,804.313756,901.478
1385.7394809775767,402.038464,861.141
1322.7513227513234,748.754011,872.209
1196.7750062988164,497.716798,931.79
1133.7868480725629,318.81726,1301.758
1133.7868480725629,570.51759,1662.1
1070.7986898463093,1443.842897,1716.872
1007.8105316200559,977.576798,1799.296
944.8223733938024,425.294931,1863.391
944.8223733938024,653.35987,1773.951
1007.8105316200559,665.011786,1635.132
1007.8105316200559,435.43115,1681.58
944.8223733938024,166.679236,1692.677
1259.76316452507,338.331851,1726.135
1511.7157974300837,590.979491,1734.754
1889.6447467876048,380.676618,1722.84
2204.5855379188724,314.459633,1697.542
2204.5855379188724,344.820926,1619.204
2141.5973796926187,494.543309,1608.526
2078.609221466365,452.766927,1723.498
2015.6210632401119,436.141633,1684.682
1889.6447467876048,356.709669,1593.502
1637.692113882591,930.400749,1433.312
1574.7039556563373,306.881151,1324.565
1511.7157974300837,407.959153,1285.303
1385.7394809775767,1322.208262,1135.936
1322.7513227513234,441.493936,1103.245
1196.7750062988164,1965.195085,1101.848
1133.7868480725629,1967.610726,1085.478
1133.7868480725629,1172.296417,1021.852
1070.7986898463093,736.62844,974.44
1007.8105316200559,1180.822209,867.24
944.8223733938024,1159.034074,842.752
944.8223733938024,1038.77304,826.258
1007.8105316200559,773.005153,860.125
1007.8105316200559,699.920168,982.323
944.8223733938024,510.789679,1135.451
1259.76316452507,553.939661,1369.979
1511.7157974300837,343.731519,1463.237
1889.6447467876048,546.124351,1581.166
2204.5855379188724,247.295337,1539.164
2204.5855379188724,571.370169,1651.133
2141.5973796926187,759.127058,1790.599
2078.609221466365,426.66853,2007.107
2015.6210632401119,620.061915,2113.983
1889.6447467876048,769.121181,2248.262
1637.692113882591,627.356204,2255.988
1574.7039556563373,1555.767601,2356.924
1511.7157974300837,995.670424,2298.218
1385.7394809775767,577.764513,2212.152
1322.7513227513234,843.579765,2451.044
1196.7750062988164,1876.147923,2424.283
1133.7868480725629,946.931312,2422.573
1133.7868480725629,775.468159,2353.87
1070.7986898463093,1774.264707,2238.893
1007.8105316200559,417.479621,2228.429
944.8223733938024,2068.688728,1922.791
944.8223733938024,1684.933352,1545.71
1007.8105316200559,350.457422,1386.815
1007.8105316200559,320.332956,1424.931
944.8223733938024,414.11667,1585.903
1259.76316452507,556.876322,1705.713
1511.7157974300837,325.732625,1785.165
1889.6447467876048,629.29819,2019.115
2204.5855379188724,391.381224,2034.214
2204.5855379188724,427.852668,1736.557
2141.5973796926187,355.999187,1276.976
2078.609221466365,712.993049,1042.619
2015.6210632401119,887.392864,817.129
1889.6447467876048,256.863171,720.012
1637.692113882591,604.573393,849.062
1574.7039556563373,1587.12357,1094.471
1511.7157974300837,1097.316812,1400.321
1385.7394809775767,679.884557,1495.286
1322.7513227513234,310.812489,1352.511
1196.7750062988164,450.256555,1390.463
1133.7868480725629,478.723228,1333.416
1133.7868480725629,612.436068,1054.481
1070.7986898463093,547.355855,790.791
1007.8105316200559,457.977134,673.144
944.8223733938024,657.764863,577.611
944.8223733938024,205.045301,519.06
1007.8105316200559,778.167994,480.724
1007.8105316200559,508.610866,414.161
944.8223733938024,302.476158,374.215
1259.76316452507,360.309448,334.494
1511.7157974300837,360.688372,318.829
1889.6447467876048,522.536326,328.519
2204.5855379188724,415.348173,355.953
2204.5855379188724,368.503682,347.732
2141.5973796926187,326.822032,412.358
2078.609221466365,409.427484,539.359
2015.6210632401119,584.679878,637.117
1889.6447467876048,726.681682,719.62
1637.692113882591,460.629602,817.123
1574.7039556563373,410.185332,925.032
1511.7157974300837,245.874372,1034.0
1385.7394809775767,378.54517,1127.787
1322.7513227513234,1217.909405,1224.211
1196.7750062988164,659.896311,1420.733
1133.7868480725629,929.500804,1548.15
1133.7868480725629,479.291614,1549.88
1070.7986898463093,1093.85913,1576.405
1007.8105316200559,1437.25909,1591.857
944.8223733938024,992.354838,1634.369
944.8223733938024,905.012834,1673.737
1007.8105316200559,378.97146,1692.084
1007.8105316200559,251.084578,1684.781
944.8223733938024,383.897473,1555.665
