PV,wind,electrical load
0.0,0.012,56295.02
0.0,0.022,61727.48
0.0,0.034,68206.0
0.0,0.05,71865.56
0.005,0.057,72078.74
0.026,0.056,72341.4
0.044,0.07,73410.53
0.03,0.086,73842.78
0.009,0.1,72488.16
0.002,0.132,71082.0
0.0,0.182,70594.37
0.0,0.219,70453.81
0.0,0.235,72737.04
0.0,0.255,73498.73
0.0,0.283,72460.56
0.0,0.298,69324.3
0.0,0.292,65453.46
0.0,0.322,62559.55
0.0,0.305,58863.54
0.0,0.274,55740.84
0.0,0.259,53957.29
0.0,0.251,52978.99
0.0,0.244,53159.96
0.0,0.248,54097.12
0.0,0.251,56089.6
0.0,0.264,61265.4
0.0,0.286,68232.3
0.008,0.287,71829.47
0.013,0.27,72323.51
0.014,0.269,73022.17
0.021,0.286,73193.96
0.018,0.307,73159.57
0.02,0.331,72838.37
0.008,0.378,71448.16
0.0,0.387,71335.47
0.0,0.436,71010.13
0.0,0.504,73881.8
0.0,0.548,74568.74
0.0,0.594,73308.44
0.0,0.587,70628.8
0.0,0.602,66894.69
0.0,0.631,63855.62
0.0,0.654,60300.18
0.0,0.613,57531.15
0.0,0.543,55676.06
0.0,0.467,54789.79
0.0,0.397,55495.89
0.0,0.355,55533.68
0.0,0.308,58338.45
0.0,0.312,64152.23
0.0,0.349,71123.82
0.002,0.314,74985.67
0.007,0.361,75392.46
0.017,0.461,75492.35
0.018,0.544,75580.0
0.012,0.602,75772.69
0.008,0.628,75421.9
0.006,0.654,73831.62
0.0,0.682,73488.14
0.0,0.704,72992.63
0.0,0.798,74687.75
0.0,0.844,75991.42
0.0,0.837,75016.85
0.0,0.837,71868.8
0.0,0.867,67946.62
0.0,0.815,65118.57
0.0,0.758,61937.51
0.0,0.677,59007.5
0.0,0.587,56486.31
0.0,0.524,55258.28
0.0,0.41,55705.76
0.0,0.365,56698.4
0.0,0.366,58799.15
0.0,0.338,64578.01
0.0,0.299,71024.68
0.061,0.301,75095.29
0.131,0.331,75312.69
0.168,0.354,75047.75
0.152,0.361,75012.79
0.127,0.415,75035.22
0.102,0.443,73778.54
0.04,0.461,71594.94
0.0,0.52,70666.07
0.0,0.535,70776.36
0.0,0.442,72600.11
0.0,0.371,73116.71
0.0,0.309,71718.93
0.0,0.235,67980.45
0.0,0.189,63867.22
0.0,0.159,60548.52
0.0,0.178,57364.7
