,load_profile_normalized
0,0.10589896454345779
1,0.13162849074364608
2,0.08926890492626294
3,0.0908377784750549
4,0.0914653278945717
5,0.10134923125196107
6,0.18104800753059305
7,0.17743959836837148
8,0.17226231565735803
9,0.17791026043300906
10,0.2197991841857546
11,0.18904926262943206
12,0.18622529024160653
13,0.18857860056479445
14,0.1829306557891434
15,0.18120489488547223
16,0.17791026043300906
17,0.1849701914025729
18,0.20897395669909002
19,0.21666143708817068
20,0.16065265139629745
21,0.13319736429243803
22,0.12096015061186068
23,0.09209287731408848
24,0.09868214621901474
25,0.08989645434577971
26,0.08456228427988705
27,0.08801380608722936
28,0.08754314402259175
29,0.09491684970191402
30,0.18277376843426413
31,0.1830875431440226
32,0.19548164417947914
33,0.2314088484468152
34,0.22074050831502978
35,0.2301537496077816
36,0.28835895826796365
37,0.27533730781299026
38,0.23627235644807026
39,0.23282083464072797
40,0.1785378098525259
41,0.17791026043300906
42,0.2014433636648886
43,0.11295889551302164
44,0.10511452776906181
45,0.10009413241292753
46,0.1005647944775651
47,0.09570128647631
48,0.0906808911201757
49,0.09664261060558518
50,0.09632883589582679
51,0.08911201757138373
52,0.09005334170065894
53,0.09915280828365232
54,0.17759648572325068
55,0.182616881079385
56,0.23846877941637903
57,0.2858487605898964
58,0.27470975839347345
59,0.29212425478506426
60,0.2588641355506746
61,0.20944461876372764
62,0.2157201129588955
63,0.18559774082208974
64,0.18355820520866015
65,0.12347034828992781
66,0.10809538751176656
67,0.1096642610605585
68,0.1112331346093505
69,0.1000941324129275
70,0.10401631628490743
71,0.1005647944775651
72,0.10448697834954501
73,0.08832758079698774
74,0.09413241292751803
75,0.08895513021650454
76,0.08613115782867901
77,0.09632883589582679
78,0.1793222466269219
79,0.1754000627549419
80,0.25823658613115785
81,0.30342014433636644
82,0.2944775651082523
83,0.27831816755569494
84,0.24647003451521807
85,0.22466269218700974
86,0.24176341386884215
87,0.21697521179792906
88,0.22325070599309696
89,0.18387197991841855
90,0.17869469720740508
91,0.17085032946344522
92,0.19124568559774083
93,0.13304047693755885
94,0.11750862880451836
95,0.11201757138374648
96,0.14276749294006902
97,0.08989645434577972
98,0.09083777847505489
99,0.0960150611860684
100,0.08895513021650454
101,0.09334797615312204
102,0.09915280828365233
103,0.10778161280200815
104,0.10229055538123627
105,0.17634138688421713
106,0.17461562598054597
107,0.1768120489488547
108,0.17696893630373392
109,0.18167555695010978
110,0.19579541888923754
111,0.1895199246940697
112,0.18010668340131783
113,0.19861939127706305
114,0.18936303733919044
115,0.19673674301851266
116,0.20269846250392215
117,0.1918732350172576
118,0.1804204581110762
119,0.21211170379667396
120,0.0950737370567932
121,0.09193598995920926
122,0.08989645434577972
123,0.09617194854094759
124,0.08911201757138373
125,0.09209287731408847
126,0.09695638531534356
127,0.10229055538123626
128,0.10150611860684028
129,0.15939755255726384
130,0.14653278945716974
131,0.17900847191716343
132,0.1521807342328208
133,0.14104173203639786
134,0.19250078443677437
