,sugar_fat
PV,90.34229165911907
Wind,3343.861378633186
Solarthermie,0.0
Batterie,1062.7138595464264
Pufferspeicher,208.57871011371802
WP Heat,145.53080916006758
WP Cool,23.31974217761486
