,sugar_fat
PV,660.7897604041523
Wind,407.55355490759905
Solarthermie,0.0
Batterie,747.6386337704655
Pufferspeicher,62.3261991040909
WP Heat,61.00962216023655
WP Cool,55.80156822408835
